Glycan,AD1,AD2,AD_4,AD3,AD_5
5-6-1-0-0 All Ratio,2.83,1.12,N/A,1,N/A
5-6-1-1-0 Protonated,5259348,4502801,N/A,2751356,N/A
5-6-1-1-0 Protonated Ratio,1.91,1.64,N/A,1,N/A
5-6-1-1-0 All Adducts,5964817.13,4502801,N/A,3936058.88,N/A
5-6-1-1-0 All Ratio,1.52,1.14,N/A,1,N/A
5-6-1-2-0 Protonated,39245160,76164970,N/A,19198010,N/A
5-6-1-2-0 Protonated Ratio,2.04,3.97,N/A,1,N/A
5-6-1-2-0 All Adducts,46794620.5,97742548,N/A,29706596,N/A
5-6-1-2-0 All Ratio,1.58,3.29,N/A,1,N/A
5-6-1-3-0 Protonated,506627500,270684700,N/A,192154200,N/A
5-6-1-3-0 Protonated Ratio,2.64,1.41,N/A,1,N/A
5-6-1-3-0 All Adducts,591841896,360674656,N/A,212613996,N/A
5-6-1-3-0 All Ratio,2.78,1.7,N/A,1,N/A
5-6-2-0-0 Protonated,489675.2,1007158,N/A,1914073,N/A
5-6-2-0-0 Protonated Ratio,1,2.06,N/A,3.91,N/A
5-6-2-0-0 All Adducts,989965.28,1007158.19,N/A,1914073,N/A
5-6-2-0-0 All Ratio,1,1.02,N/A,1.93,N/A
5-6-2-1-0 Protonated,10150460,3527574,N/A,2963311,N/A
5-6-2-1-0 Protonated Ratio,3.43,1.19,N/A,1,N/A
5-6-2-1-0 All Adducts,60377365,3944998.81,N/A,2963310.75,N/A
5-6-2-1-0 All Ratio,20.37,1.33,N/A,1,N/A
5-6-2-3-0 Protonated,11008810,2406846,N/A,2146988,N/A
5-6-2-3-0 Protonated Ratio,5.13,1.12,N/A,1,N/A
5-6-2-3-0 All Adducts,11008808,2406845.75,N/A,2146987.5,N/A
5-6-2-3-0 All Ratio,5.13,1.12,N/A,1,N/A
5-7-0-0-0 Protonated,12506750,5415744,N/A,8774269,N/A
5-7-0-0-0 Protonated Ratio,2.31,1,N/A,1.62,N/A
5-7-0-0-0 All Adducts,14620920,5415743.5,N/A,8774269,N/A
5-7-0-0-0 All Ratio,2.7,1,N/A,1.62,N/A
5-7-0-1-0 Protonated,756939,95867.67,N/A,428284.4,N/A
5-7-0-1-0 Protonated Ratio,7.9,1,N/A,4.47,N/A
5-7-0-1-0 All Adducts,756939,211658.89,N/A,428284.41,N/A
5-7-0-1-0 All Ratio,3.58,1,N/A,2.02,N/A
5-7-0-2-0 Protonated,633115.4,237084.3,N/A,320307.3,N/A
5-7-0-2-0 Protonated Ratio,2.67,1,N/A,1.35,N/A
5-7-0-2-0 All Adducts,633115.38,300229.72,N/A,320307.25,N/A
5-7-0-2-0 All Ratio,2.11,1,N/A,1.07,N/A
5-7-1-0-0 Protonated,5190643,22645610,N/A,5958447,N/A
5-7-1-0-0 Protonated Ratio,1,4.36,N/A,1.15,N/A
5-7-1-0-0 All Adducts,11133624.5,31375407,N/A,8959224.25,N/A
5-7-1-0-0 All Ratio,1.24,3.5,N/A,1,N/A
5-7-1-1-0 Protonated,6137033,6307198,N/A,5974700,N/A
5-7-1-1-0 Protonated Ratio,1.03,1.06,N/A,1,N/A
5-7-1-1-0 All Adducts,10385842.5,11531104,N/A,7036577.38,N/A
5-7-1-1-0 All Ratio,1.48,1.64,N/A,1,N/A
5-7-1-2-0 Protonated,111180600,91874620,N/A,95392460,N/A
5-7-1-2-0 Protonated Ratio,1.21,1,N/A,1.04,N/A
5-7-1-2-0 All Adducts,134866784,107176070,N/A,111462665,N/A
5-7-1-2-0 All Ratio,1.26,1,N/A,1.04,N/A
5-7-2-1-0 Protonated,6275798,6222643,N/A,2937560,N/A
