Glycan,C1,C2,C3,C_4,C_5
4-18-0-0-0 All Ratio,1.2,3.1,1,N/A,N/A
4-19-0-0-0 Protonated,14099.96,13526.4,13698.43,N/A,N/A
4-19-0-0-0 Protonated Ratio,1.04,1,1.01,N/A,N/A
4-19-0-0-0 All Adducts,49541.41,21476.91,26337.22,N/A,N/A
4-19-0-0-0 All Ratio,2.31,1,1.23,N/A,N/A
4-20-0-0-0 Protonated,7311.26,6197.86,6026.26,N/A,N/A
4-20-0-0-0 Protonated Ratio,1.21,1.03,1,N/A,N/A
4-20-0-0-0 All Adducts,40356.19,6197.86,6026.26,N/A,N/A
4-20-0-0-0 All Ratio,6.7,1.03,1,N/A,N/A
4-21-0-0-0 Protonated,6796.78,0,0,N/A,N/A
4-21-0-0-0 Protonated Ratio,1,0,0,N/A,N/A
4-21-0-0-0 All Adducts,6796.78,0,0,N/A,N/A
4-21-0-0-0 All Ratio,1,0,0,N/A,N/A
5-3-0-0-0 Protonated,5799992000,5051399000,5028029000,N/A,N/A
5-3-0-0-0 Protonated Ratio,1.15,1,1,N/A,N/A
5-3-0-0-0 All Adducts,5799991808,5654212800,5028028928,N/A,N/A
5-3-0-0-0 All Ratio,1.15,1.12,1,N/A,N/A
5-3-1-0-0 Protonated,20865640000,20357890000,27773900000,N/A,N/A
5-3-1-0-0 Protonated Ratio,1.02,1,1.36,N/A,N/A
5-3-1-0-0 All Adducts,20865636352,23325329408,31563985408,N/A,N/A
5-3-1-0-0 All Ratio,1,1.12,1.51,N/A,N/A
5-4-0-0-0 Protonated,66796390,49518210,96052260,N/A,N/A
5-4-0-0-0 Protonated Ratio,1.35,1,1.94,N/A,N/A
5-4-0-0-0 All Adducts,66796392,57935675,105898454,N/A,N/A
5-4-0-0-0 All Ratio,1.15,1,1.83,N/A,N/A
5-4-0-1-0 Protonated,47411490,25249900,39046470,N/A,N/A
5-4-0-1-0 Protonated Ratio,1.88,1,1.55,N/A,N/A
5-4-0-1-0 All Adducts,47411488,25249904,39046468,N/A,N/A
5-4-0-1-0 All Ratio,1.88,1,1.55,N/A,N/A
5-4-1-0-0 Protonated,1483923000,467812600,1394821000,N/A,N/A
5-4-1-0-0 Protonated Ratio,3.17,1,2.98,N/A,N/A
5-4-1-0-0 All Adducts,1689639872,651912080,1776179328,N/A,N/A
5-4-1-0-0 All Ratio,2.59,1,2.72,N/A,N/A
5-4-1-1-0 Protonated,1021071000,380429500,947146400,N/A,N/A
5-4-1-1-0 Protonated Ratio,2.68,1,2.49,N/A,N/A
5-4-1-1-0 All Adducts,1021070656,504435536,1285253248,N/A,N/A
5-4-1-1-0 All Ratio,2.02,1,2.55,N/A,N/A
5-5-0-0-0 Protonated,746710.5,889384.1,1211456,N/A,N/A
5-5-0-0-0 Protonated Ratio,1,1.19,1.62,N/A,N/A
5-5-0-0-0 All Adducts,746710.5,889384.13,1211455.63,N/A,N/A
5-5-0-0-0 All Ratio,1,1.19,1.62,N/A,N/A
5-5-0-1-0 Protonated,1984108,531704.8,1329910,N/A,N/A
5-5-0-1-0 Protonated Ratio,3.73,1,2.5,N/A,N/A
5-5-0-1-0 All Adducts,1984107.5,865174.56,1964911.81,N/A,N/A
5-5-0-1-0 All Ratio,2.29,1,2.27,N/A,N/A
5-5-0-2-0 Protonated,308099,927757.5,3561550,N/A,N/A
5-5-0-2-0 Protonated Ratio,1,3.01,11.56,N/A,N/A
5-5-0-2-0 All Adducts,308098.97,4427296.13,4490672.56,N/A,N/A
5-5-0-2-0 All Ratio,1,14.37,14.58,N/A,N/A
5-5-1-0-0 Protonated,33849290,22923780,37764920,N/A,N/A
5-5-1-0-0 Protonated Ratio,1.48,1,1.65,N/A,N/A
5-5-1-0-0 All Adducts,33849288,22923778,37764916,N/A,N/A
5-5-1-0-0 All Ratio,1.48,1,1.65,N/A,N/A
5-5-1-1-0 Protonated,10093590,8823445,12753400,N/A,N/A
5-5-1-1-0 Protonated Ratio,1.14,1,1.45,N/A,N/A
5-5-1-1-0 All Adducts,11471670.63,13005669.38,16177484,N/A,N/A
5-5-1-1-0 All Ratio,1,1.13,1.41,N/A,N/A
5-5-1-2-0 Protonated,117930500,38501750,91786880,N/A,N/A
5-5-1-2-0 Protonated Ratio,3.06,1,2.38,N/A,N/A
5-5-1-2-0 All Adducts,145749494,38501748,91786880,N/A,N/A
5-5-1-2-0 All Ratio,3.79,1,2.38,N/A,N/A
5-6-0-0-0 Protonated,19778.34,24652.73,29594.34,N/A,N/A
5-6-0-0-0 Protonated Ratio,1,1.25,1.5,N/A,N/A
5-6-0-0-0 All Adducts,19778.34,24652.73,29594.34,N/A,N/A
5-6-0-0-0 All Ratio,1,1.25,1.5,N/A,N/A
5-6-0-1-0 Protonated,335710.1,410462.5,950161.6,N/A,N/A
5-6-0-1-0 Protonated Ratio,1,1.22,2.83,N/A,N/A
5-6-0-1-0 All Adducts,372914.41,410462.5,1205933.97,N/A,N/A
5-6-0-1-0 All Ratio,1,1.1,3.23,N/A,N/A
5-6-0-2-0 Protonated,4522204,3162131,10202250,N/A,N/A
5-6-0-2-0 Protonated Ratio,1.43,1,3.23,N/A,N/A
5-6-0-2-0 All Adducts,4522203.5,3162130.75,12881784.25,N/A,N/A
5-6-0-2-0 All Ratio,1.43,1,4.07,N/A,N/A
5-6-0-3-0 Protonated,458979700,215074800,428092600,N/A,N/A
5-6-0-3-0 Protonated Ratio,2.13,1,1.99,N/A,N/A
